Transaction ID,Customer Name,Merchant Name,Transaction Date,Transaction Amount (INR),Fraud Risk,Fraud Type,State,Card Type,Bank,IsFraud,Fraud Score,Transaction Category,Merchant Location
50032908,Yakshit Saran,Lifestyle,12/30/2023,9248,Medium,Card Not Present,Tamil Nadu,Visa,Federal Bank,0,32,Electronics,Kochi
81281786,Drishya Ganesan,Zomato,4/14/2024,23122,Low,Card Skimming,Tamil Nadu,Visa,Federal Bank,0,94,E-commerce,Delhi
83454657,Misha Kashyap,Flipkart,10/29/2024,842,Medium,Card Skimming,Tamil Nadu,Mastercard,Bank of Baroda,0,26,Electronics,Hyderabad
17097793,Ranbir Shankar,Zomato,11/13/2024,5546,High,Identity Theft,Telangana,Rupay,Axis Bank,0,91,Apparel,Chennai
34894049,Onkar Deol,Lifestyle,1/2/2024,16758,Low,Card Not Present,Delhi,Mastercard,HDFC Bank,0,50,E-commerce,Delhi
84776733,Nakul Upadhyay,Big Bazaar,9/16/2024,4351,High,Card Not Present,Gujarat,Rupay,Yes Bank,1,70,Apparel,Jaipur
92240744,Tanya Shanker,Tata Cliq,6/5/2024,16904,High,Card Skimming,Rajasthan,Mastercard,Andhra Bank,1,10,Electronics,Chennai
67571367,Priyansh Sangha,Lifestyle,3/22/2024,19397,Low,Card Skimming,Kerala,Mastercard,Federal Bank,1,13,Transportation,Lucknow
53817550,Aniruddh Sem,Tata Cliq,5/25/2024,16870,Critical,Identity Theft,Uttar Pradesh,Rupay,Yes Bank,0,39,E-commerce,Hyderabad
36057699,Oorja Dhillon,Uber,6/29/2024,4014,Low,Card Not Present,Tamil Nadu,Visa,Kotak Bank,0,90,Apparel,Jaipur
90448570,Myra Baral,Swiggy,8/5/2024,20415,Low,Account Takeover,Uttar Pradesh,Visa,Federal Bank,0,11,Electronics,Jaipur
39560366,Raghav Goswami,Lifestyle,12/16/2023,14479,Medium,Card Not Present,Rajasthan,Mastercard,SBI,0,68,Apparel,Delhi
45163069,Jivin Shah,Lifestyle,7/27/2024,1603,Medium,Card Skimming,Rajasthan,Mastercard,Yes Bank,0,17,Transportation,Kolkata
24538975,Indranil Dar,Uber,6/18/2024,11770,Medium,Card Not Present,Kerala,Amex,Andhra Bank,0,32,E-commerce,Kolkata
65571276,Siya Mand,Flipkart,7/27/2024,3431,High,Card Skimming,Delhi,Mastercard,Federal Bank,0,85,Apparel,Chennai
58333520,Hridaan Lanka,Uber,1/30/2024,9612,Medium,Phishing,Maharashtra,Visa,Bank of Baroda,0,53,E-commerce,Ahmedabad
22921041,Devansh Dutta,Myntra,9/12/2024,23243,Low,Card Skimming,Rajasthan,Visa,SBI,0,65,Electronics,Kochi
66957487,Prisha Sani,Zomato,10/11/2024,23671,Medium,Identity Theft,Uttar Pradesh,Amex,Andhra Bank,0,79,Transportation,Jaipur
50449721,Anika Kaur,Amazon India,3/16/2024,5188,Medium,Identity Theft,Kerala,Amex,Yes Bank,1,14,Electronics,Delhi
75029599,Hrishita Mangal,Lifestyle,11/6/2024,11728,Low,Account Takeover,West Bengal,Mastercard,ICICI Bank,0,42,E-commerce,Lucknow
90805536,Urvi Gole,Flipkart,5/20/2024,1056,Low,Phishing,Delhi,Rupay,Kotak Bank,0,36,Transportation,Ahmedabad
84143515,Neysa Bir,Swiggy,11/17/2024,6783,Low,Card Not Present,Uttar Pradesh,Rupay,Andhra Bank,0,83,Electronics,Kolkata
81421351,Aaina Kanda,Tata Cliq,8/22/2024,19964,Low,Account Takeover,Gujarat,Rupay,ICICI Bank,0,11,Apparel,Bangalore
48347365,Mannat Krishnamurthy,Tata Cliq,3/7/2024,7131,High,Account Takeover,Gujarat,Rupay,SBI,0,63,Apparel,Delhi
32663828,Jivin Tripathi,Reliance Digital,10/12/2024,7525,Low,Card Skimming,Uttar Pradesh,Amex,HDFC Bank,0,48,Transportation,Ahmedabad
80937684,Samaira Sahni,Amazon India,1/11/2024,16351,Low,Identity Theft,Uttar Pradesh,Rupay,Yes Bank,0,94,Transportation,Mumbai
87301985,Kimaya Buch,Big Bazaar,4/27/2024,21512,Low,Card Skimming,Kerala,Rupay,HDFC Bank,0,35,Apparel,Lucknow
72182629,Samaira Goswami,Big Bazaar,2/19/2024,20170,Low,Account Takeover,Maharashtra,Rupay,HDFC Bank,0,39,Apparel,Jaipur
23733893,Samaira Bansal,Flipkart,7/30/2024,11347,Low,Card Not Present,Telangana,Rupay,Axis Bank,0,16,Transportation,Hyderabad
21412415,Riya Rajagopalan,Reliance Digital,10/21/2024,21657,Low,Account Takeover,Uttar Pradesh,Rupay,Axis Bank,0,14,Apparel,Bangalore
42755409,Alia Sani,Reliance Digital,5/18/2024,24075,Low,Identity Theft,Telangana,Mastercard,Yes Bank,0,19,Transportation,Bangalore
36099694,Divij Chatterjee,Flipkart,6/18/2024,14154,Critical,Account Takeover,Maharashtra,Mastercard,Yes Bank,0,81,Electronics,Lucknow
34550377,Kartik Khatri,Uber,5/23/2024,23336,Medium,Card Skimming,West Bengal,Rupay,Axis Bank,0,54,Apparel,Delhi
13995329,Mohanlal Vyas,Zomato,4/7/2024,3837,Medium,Account Takeover,Telangana,Mastercard,Andhra Bank,0,69,Apparel,Lucknow
22639242,Pari Bath,Lifestyle,9/8/2024,18705,Low,Card Not Present,Maharashtra,Rupay,Federal Bank,1,58,Food Delivery,Chennai
24287784,Ranbir Buch,Zomato,12/29/2023,22715,Medium,Phishing,Delhi,Rupay,Kotak Bank,0,75,E-commerce,Mumbai
38716212,Aniruddh Choudhury,Myntra,9/23/2024,2094,Critical,Account Takeover,Gujarat,Visa,Federal Bank,1,73,E-commerce,Kolkata
50152639,Divij Venkatesh,Tata Cliq,12/29/2023,24973,Low,Card Not Present,Telangana,Mastercard,Axis Bank,0,46,Electronics,Bangalore
10560987,Priyansh Sandal,Flipkart,6/25/2024,19521,High,Card Skimming,Kerala,Visa,Axis Bank,1,38,Transportation,Ahmedabad
62563619,Amani Tak,Lifestyle,8/6/2024,832,Medium,Card Not Present,Kerala,Rupay,SBI,0,46,Electronics,Bangalore
40409910,Dishani Acharya,Myntra,3/31/2024,1695,Low,Card Not Present,Delhi,Visa,HDFC Bank,1,55,E-commerce,Jaipur
10117276,Vivaan Agrawal,Zomato,11/6/2024,6908,Low,Card Not Present,West Bengal,Amex,Andhra Bank,0,38,Food Delivery,Kolkata
75147301,Anvi Srinivasan,Lifestyle,11/2/2024,9688,High,Phishing,Delhi,Amex,Andhra Bank,0,18,E-commerce,Ahmedabad
53631628,Biju Chopra,Tata Cliq,4/2/2024,20610,Medium,Card Skimming,Maharashtra,Mastercard,ICICI Bank,0,45,Apparel,Ahmedabad
95200804,Saira Ganguly,Zomato,7/1/2024,2790,Medium,Card Not Present,Kerala,Rupay,HDFC Bank,0,61,Food Delivery,Delhi
89200981,Navya Randhawa,Tata Cliq,12/8/2024,2861,Critical,Phishing,Gujarat,Mastercard,SBI,0,25,Apparel,Bangalore
15784540,Ritvik Jha,Swiggy,2/10/2024,3776,Low,Card Skimming,Uttar Pradesh,Amex,Bank of Baroda,1,69,Electronics,Kolkata
65154221,Rohan Devi,Amazon India,1/6/2024,2760,Low,Card Skimming,Kerala,Visa,ICICI Bank,0,39,Apparel,Bangalore
87824397,Mohanlal Bhat,Swiggy,6/12/2024,18868,Low,Account Takeover,Tamil Nadu,Amex,Kotak Bank,0,18,Groceries,Delhi
21065610,Prerak Shan,Uber,6/8/2024,7764,Critical,Identity Theft,Uttar Pradesh,Mastercard,Andhra Bank,0,28,Apparel,Hyderabad
23921117,Adah Vyas,Flipkart,1/6/2024,18020,Low,Card Not Present,Kerala,Mastercard,Yes Bank,0,80,Electronics,Bangalore
22421404,Gokul Mani,Lifestyle,9/3/2024,4965,Medium,Card Skimming,Karnataka,Rupay,Federal Bank,1,22,Electronics,Ahmedabad
84552344,Lakshay Loyal,Big Bazaar,4/10/2024,13733,Critical,Card Not Present,Telangana,Rupay,Federal Bank,1,78,Apparel,Mumbai
78149926,Keya Chanda,Reliance Digital,3/13/2024,20336,High,Card Not Present,Rajasthan,Rupay,Bank of Baroda,0,19,Apparel,Jaipur
61148006,Tanya Bansal,Amazon India,6/9/2024,16906,Critical,Phishing,Uttar Pradesh,Amex,Yes Bank,0,33,Apparel,Jaipur
34034948,Indranil Sura,Reliance Digital,1/11/2024,8161,Medium,Account Takeover,Karnataka,Amex,SBI,0,61,Transportation,Chennai
62554708,Mannat Mandal,Lifestyle,8/22/2024,22728,Critical,Identity Theft,Kerala,Amex,SBI,0,20,Transportation,Bangalore
47813903,Sumer Lall,Flipkart,10/22/2024,10680,High,Account Takeover,Uttar Pradesh,Amex,Andhra Bank,0,15,Electronics,Hyderabad
58961246,Armaan Sha,Reliance Digital,10/26/2024,20904,Low,Phishing,Karnataka,Visa,Kotak Bank,0,90,Food Delivery,Kochi
42445507,Vardaniya Lad,Reliance Digital,2/8/2024,1295,High,Card Not Present,Uttar Pradesh,Amex,Yes Bank,1,80,Electronics,Lucknow
69187765,Onkar Bora,Big Bazaar,4/16/2024,23512,Low,Account Takeover,West Bengal,Rupay,Axis Bank,0,26,Groceries,Kochi
99192536,Fateh Wali,Lifestyle,7/28/2024,24736,Medium,Card Not Present,Uttar Pradesh,Amex,Yes Bank,1,56,E-commerce,Kolkata
10149344,Saira Dhillon,Zomato,7/11/2024,5543,Low,Identity Theft,Gujarat,Rupay,HDFC Bank,0,72,Transportation,Chennai
82127371,Anay Dara,Amazon India,10/1/2024,13102,Low,Phishing,Delhi,Mastercard,Federal Bank,1,95,Groceries,Bangalore
74082692,Sana Manne,Lifestyle,5/9/2024,11335,Critical,Card Skimming,Maharashtra,Rupay,Axis Bank,0,28,Transportation,Kochi
93730832,Yuvraj  Suri,Tata Cliq,10/13/2024,20131,Low,Phishing,Karnataka,Amex,Federal Bank,1,75,E-commerce,Hyderabad
27315999,Aarush Chaudhary,Reliance Digital,8/17/2024,12332,Low,Account Takeover,West Bengal,Rupay,ICICI Bank,0,45,E-commerce,Kochi
50880858,Rasha Uppal,Reliance Digital,10/2/2024,14191,High,Card Skimming,Maharashtra,Rupay,Axis Bank,0,67,Electronics,Bangalore
91232868,Jivika Bhatia,Zomato,12/3/2024,8956,High,Identity Theft,Maharashtra,Mastercard,Axis Bank,0,30,Electronics,Kolkata
37845729,Eva Maharaj,Reliance Digital,4/17/2024,17448,Low,Card Skimming,Rajasthan,Visa,Axis Bank,1,95,Apparel,Chennai
64308049,Zoya Borra,Amazon India,9/1/2024,10110,Medium,Card Skimming,Tamil Nadu,Mastercard,Kotak Bank,0,63,Food Delivery,Ahmedabad
37400867,Ira Mander,Lifestyle,8/5/2024,1711,Low,Phishing,Uttar Pradesh,Mastercard,Kotak Bank,0,19,Groceries,Kolkata
87852293,Aniruddh Chander,Flipkart,5/2/2024,9742,Low,Identity Theft,Tamil Nadu,Rupay,Yes Bank,0,31,Food Delivery,Jaipur
18250402,Devansh Rattan,Zomato,4/7/2024,13965,Low,Identity Theft,Karnataka,Mastercard,Kotak Bank,0,71,E-commerce,Kochi
85509756,Aradhya Bahri,Uber,10/7/2024,9632,Medium,Identity Theft,Kerala,Amex,Yes Bank,0,44,Transportation,Hyderabad
21329759,Aradhya Saha,Lifestyle,2/16/2024,10960,Low,Card Skimming,Uttar Pradesh,Amex,HDFC Bank,1,87,Apparel,Ahmedabad
10260467,Manikya Halder,Big Bazaar,11/28/2024,22184,Low,Identity Theft,Karnataka,Amex,Kotak Bank,1,39,Groceries,Bangalore
33505820,Zara Chopra,Reliance Digital,4/30/2024,24174,High,Account Takeover,Karnataka,Amex,Kotak Bank,0,34,Transportation,Kochi
26209976,Mishti Tripathi,Amazon India,2/4/2024,7917,Critical,Identity Theft,Delhi,Amex,ICICI Bank,0,55,Apparel,Chennai
76975447,Aaryahi Vaidya,Amazon India,5/1/2024,10563,Low,Account Takeover,Rajasthan,Visa,Kotak Bank,0,39,Food Delivery,Hyderabad
64841897,Lagan Grover,Big Bazaar,5/4/2024,1654,Low,Identity Theft,Telangana,Visa,Yes Bank,0,17,Apparel,Hyderabad
31962281,Prisha Warrior,Uber,3/3/2024,24837,Low,Card Skimming,Rajasthan,Mastercard,SBI,0,13,Transportation,Bangalore
70845514,Ela Gara,Big Bazaar,1/14/2024,17654,Medium,Card Skimming,West Bengal,Amex,Axis Bank,0,49,Electronics,Chennai
15820659,Siya Khatri,Uber,6/6/2024,12378,Medium,Identity Theft,Rajasthan,Amex,Yes Bank,1,81,Groceries,Lucknow
28323079,Badal Ranganathan,Amazon India,12/24/2023,13552,Medium,Card Not Present,Karnataka,Rupay,Federal Bank,1,21,Apparel,Delhi
28074472,Manikya Balasubramanian,Tata Cliq,5/18/2024,19447,High,Identity Theft,Maharashtra,Mastercard,Kotak Bank,0,60,Groceries,Jaipur
67323481,Aaina Borra,Zomato,6/18/2024,7856,Low,Card Skimming,Uttar Pradesh,Mastercard,SBI,0,77,Electronics,Chennai
31110526,Prerak Tandon,Big Bazaar,2/9/2024,13146,Low,Card Not Present,Uttar Pradesh,Mastercard,ICICI Bank,1,28,Transportation,Ahmedabad
49552851,Anaya Krishna,Flipkart,7/29/2024,15039,Low,Phishing,Kerala,Rupay,Yes Bank,0,46,E-commerce,Jaipur
52543004,Kashvi Loyal,Big Bazaar,9/24/2024,10725,Low,Card Skimming,Uttar Pradesh,Rupay,Bank of Baroda,0,37,Transportation,Hyderabad
85124381,Saanvi Sem,Uber,10/30/2024,3216,Low,Phishing,Tamil Nadu,Rupay,Bank of Baroda,0,77,Transportation,Bangalore
42494131,Vanya Hayre,Uber,4/2/2024,14502,Medium,Card Not Present,Karnataka,Mastercard,Bank of Baroda,0,59,Electronics,Hyderabad
47972186,Miraya Thaman,Swiggy,11/25/2024,4168,Critical,Card Not Present,Rajasthan,Visa,ICICI Bank,0,39,Transportation,Chennai
78953912,Ahana  Wagle,Uber,4/13/2024,23256,High,Account Takeover,Uttar Pradesh,Amex,Bank of Baroda,0,29,Transportation,Delhi
10869922,Jayesh Toor,Lifestyle,8/8/2024,22616,Low,Account Takeover,Delhi,Mastercard,HDFC Bank,0,67,Transportation,Mumbai
12113217,Jayesh Balan,Zomato,11/12/2024,23656,Medium,Card Not Present,West Bengal,Visa,Federal Bank,0,45,Transportation,Chennai
39463165,Sara Master,Myntra,7/27/2024,11634,Medium,Card Skimming,Gujarat,Visa,Federal Bank,0,37,Groceries,Delhi
10510765,Siya Varkey,Amazon India,4/21/2024,4153,High,Account Takeover,Telangana,Amex,Axis Bank,0,19,Groceries,Chennai
63180732,Hiran Ghosh,Lifestyle,8/8/2024,14305,Low,Card Skimming,Telangana,Visa,Axis Bank,0,52,Transportation,Hyderabad
37948619,Shlok Chaudhuri,Flipkart,12/19/2023,6632,High,Identity Theft,Tamil Nadu,Visa,Federal Bank,1,11,Transportation,Mumbai
67851025,Aaryahi Deo,Flipkart,3/10/2024,1017,High,Card Skimming,Telangana,Amex,Kotak Bank,1,70,Food Delivery,Bangalore
19485119,Saanvi Chakraborty,Swiggy,12/8/2024,18342,Critical,Card Skimming,Rajasthan,Visa,Federal Bank,1,82,E-commerce,Mumbai
78596115,Alisha Das,Big Bazaar,3/15/2024,4089,Low,Identity Theft,Maharashtra,Rupay,Yes Bank,1,95,E-commerce,Chennai
97579806,Divit Bains,Myntra,3/25/2024,4161,Low,Card Skimming,Maharashtra,Mastercard,Kotak Bank,0,33,Transportation,Delhi
73506109,Adah Konda,Zomato,4/5/2024,5594,High,Card Skimming,Rajasthan,Visa,ICICI Bank,0,55,Groceries,Ahmedabad
13543144,Alia Rana,Swiggy,5/19/2024,7364,Low,Card Skimming,Tamil Nadu,Visa,HDFC Bank,0,88,Food Delivery,Chennai
79487668,Aniruddh Gala,Uber,6/2/2024,19463,High,Identity Theft,Delhi,Visa,Andhra Bank,0,28,Food Delivery,Kochi
27833354,Anvi Kakar,Zomato,2/1/2024,22622,Critical,Identity Theft,Gujarat,Amex,SBI,1,19,Apparel,Ahmedabad
61339463,Zain Grover,Lifestyle,9/9/2024,2026,Medium,Card Skimming,Telangana,Amex,Federal Bank,0,64,Groceries,Lucknow
72726544,Samar Brahmbhatt,Flipkart,5/19/2024,6900,High,Phishing,West Bengal,Rupay,Kotak Bank,0,91,Apparel,Delhi
33650131,Bhavin Sule,Lifestyle,1/23/2024,1239,Low,Card Skimming,Tamil Nadu,Mastercard,Federal Bank,0,42,Electronics,Jaipur
16505245,Sumer Bala,Flipkart,10/11/2024,1166,High,Card Not Present,Gujarat,Amex,Andhra Bank,1,74,Food Delivery,Ahmedabad
51331760,Heer Soni,Amazon India,12/3/2024,13248,Low,Account Takeover,Karnataka,Visa,Yes Bank,0,68,E-commerce,Ahmedabad
62791884,Jivin Hayer,Reliance Digital,3/3/2024,795,High,Phishing,Tamil Nadu,Amex,Bank of Baroda,0,95,Apparel,Jaipur
17071283,Samaira Hayre,Tata Cliq,2/11/2024,21466,Low,Card Not Present,Uttar Pradesh,Amex,Axis Bank,0,53,Electronics,Lucknow
57808916,Hunar Devan,Amazon India,1/18/2024,2963,Medium,Card Skimming,Maharashtra,Rupay,SBI,1,26,E-commerce,Hyderabad
72938283,Devansh Mani,Reliance Digital,11/5/2024,8416,Low,Phishing,Gujarat,Visa,HDFC Bank,0,69,Transportation,Kochi
92838292,Indranil Kara,Tata Cliq,2/22/2024,5973,High,Card Not Present,Tamil Nadu,Mastercard,Federal Bank,0,74,E-commerce,Lucknow
49919079,Jhanvi Solanki,Zomato,5/31/2024,10815,Medium,Card Not Present,Rajasthan,Rupay,Federal Bank,0,69,Food Delivery,Delhi
51546530,Charvi Kaur,Zomato,12/10/2024,15064,High,Account Takeover,Tamil Nadu,Amex,Yes Bank,1,81,Transportation,Kolkata
29629444,Anya Shere,Flipkart,9/29/2024,801,Low,Card Not Present,Maharashtra,Amex,Andhra Bank,1,42,Food Delivery,Ahmedabad
79096625,Ahana  Shroff,Myntra,7/8/2024,17208,Low,Card Not Present,Karnataka,Rupay,Federal Bank,0,63,Groceries,Lucknow
36102806,Nehmat Mall,Big Bazaar,11/21/2024,20075,Low,Card Not Present,Maharashtra,Mastercard,Axis Bank,0,40,Electronics,Kolkata
54066013,Inaaya  Sampath,Zomato,7/8/2024,6438,Low,Card Skimming,Maharashtra,Rupay,SBI,0,89,Electronics,Jaipur
57860400,Riya Dash,Uber,11/27/2024,5031,Medium,Card Not Present,Rajasthan,Rupay,HDFC Bank,1,10,Electronics,Jaipur
70040790,Tiya Viswanathan,Myntra,9/19/2024,252,Medium,Card Not Present,Gujarat,Mastercard,SBI,1,53,E-commerce,Bangalore
21982567,Nehmat Kar,Lifestyle,12/19/2023,14702,Low,Card Skimming,Telangana,Mastercard,Kotak Bank,0,88,Food Delivery,Jaipur
13291091,Dhanush Borde,Swiggy,10/7/2024,8567,Low,Identity Theft,Karnataka,Mastercard,Bank of Baroda,0,84,Transportation,Kochi
92630416,Inaaya  Kant,Lifestyle,12/22/2023,18546,Low,Card Not Present,Tamil Nadu,Mastercard,Axis Bank,0,20,E-commerce,Ahmedabad
85429387,Nitya Bera,Big Bazaar,12/14/2024,5015,High,Card Not Present,Kerala,Visa,HDFC Bank,1,26,Electronics,Mumbai
20976963,Shamik Bose,Swiggy,2/23/2024,13352,High,Account Takeover,Karnataka,Rupay,Federal Bank,0,83,Apparel,Lucknow
15961665,Aniruddh Reddy,Uber,12/19/2023,14020,Medium,Card Skimming,Kerala,Rupay,Axis Bank,0,86,Transportation,Ahmedabad
26896905,Nitara Chander,Myntra,3/31/2024,9453,High,Card Skimming,Tamil Nadu,Visa,Kotak Bank,0,15,Food Delivery,Bangalore
28606571,Suhana Deo,Zomato,4/1/2024,8565,Low,Identity Theft,Rajasthan,Rupay,Kotak Bank,1,17,E-commerce,Chennai
29713091,Veer Kant,Zomato,8/1/2024,5009,Medium,Account Takeover,Rajasthan,Visa,Yes Bank,0,22,Transportation,Hyderabad
19645801,Manikya Karpe,Big Bazaar,10/3/2024,6019,Low,Identity Theft,Telangana,Rupay,SBI,0,72,Food Delivery,Jaipur
70121811,Heer Bahl,Myntra,11/7/2024,20359,Low,Phishing,West Bengal,Visa,Andhra Bank,0,26,Food Delivery,Jaipur
95186326,Hazel Bawa,Zomato,7/29/2024,17599,Critical,Account Takeover,Maharashtra,Visa,SBI,1,30,Electronics,Jaipur
26524451,Lakshay Chandra,Amazon India,5/9/2024,3946,Medium,Card Not Present,Maharashtra,Rupay,Kotak Bank,0,91,E-commerce,Kochi
